Pais;Encuesta;Variable;Definición;Valor;Etiqueta;Variable_nuestra;Reclasificacion_nuestra;Observaciones
Mexico;Encuesta Nacional de Ocupación y Empleo;fac;Factor de expansión;numérico;-;Ponderador;-;
Mexico;Encuesta Nacional de Ocupación y Empleo;t_loc;Tamaño de localidad;1;Localidades mayores de 100 000 habitantes;Zona;Urbano;
Mexico;Encuesta Nacional de Ocupación y Empleo;t_loc;Tamaño de localidad;2;Localidades de 15 000 a 99 999 habitantes;Zona;Urbano;
Mexico;Encuesta Nacional de Ocupación y Empleo;t_loc;Tamaño de localidad;3;Localidades de 2 500 a 14 999 habitantes;Zona;Urbano;
Mexico;Encuesta Nacional de Ocupación y Empleo;t_loc;Tamaño de localidad;4;Localidades menores de 2 500 habitantes;Zona;Rural;
Mexico;Encuesta Nacional de Ocupación y Empleo;clase2;"Clasificación de la población en ocupada y desocupada; disponible y no disponible";1;Población ocupada;Cond Actividad;Ocupados;
Mexico;Encuesta Nacional de Ocupación y Empleo;clase2;"Clasificación de la población en ocupada y desocupada; disponible y no disponible";2;Población desocupada;Cond Actividad;Resto;
Mexico;Encuesta Nacional de Ocupación y Empleo;clase2;"Clasificación de la población en ocupada y desocupada; disponible y no disponible";3;Disponibles;Cond Actividad;Resto;
Mexico;Encuesta Nacional de Ocupación y Empleo;clase2;"Clasificación de la población en ocupada y desocupada; disponible y no disponible";4;No disponibles;Cond Actividad;Resto;
Mexico;Encuesta Nacional de Ocupación y Empleo;tue2;Clasificación de la población ocupada por tipo de unidad económica‐Subtotales;1;1 Empresas constituidas en sociedad y corporativas;Sector;Privado sin SD;
Mexico;Encuesta Nacional de Ocupación y Empleo;tue2;Clasificación de la población ocupada por tipo de unidad económica‐Subtotales;2;2 Negocios no constituidos en sociedad;Sector;Privado sin SD;
Mexico;Encuesta Nacional de Ocupación y Empleo;tue2;Clasificación de la población ocupada por tipo de unidad económica‐Subtotales;3;3 Privadas;Sector;Privado sin SD;
Mexico;Encuesta Nacional de Ocupación y Empleo;tue2;Clasificación de la población ocupada por tipo de unidad económica‐Subtotales;4;4 Públicas;Sector;Resto;
Mexico;Encuesta Nacional de Ocupación y Empleo;tue2;Clasificación de la población ocupada por tipo de unidad económica‐Subtotales;5;5 Sector informal;Sector;Privado sin SD;
Mexico;Encuesta Nacional de Ocupación y Empleo;tue2;Clasificación de la población ocupada por tipo de unidad económica‐Subtotales;6;6 Trabajo doméstico remunerado;Sector;Resto;
Mexico;Encuesta Nacional de Ocupación y Empleo;tue2;Clasificación de la población ocupada por tipo de unidad económica‐Subtotales;7;7 Agricultura de auto subsistencia;Sector;Resto;
Mexico;Encuesta Nacional de Ocupación y Empleo;POS_OCU;Clasificación de la población ocupada por posición en la ocupación;1;1 Trabajadores subordinados y remunerados;Categoria Ocupacional;Asalariados;
Mexico;Encuesta Nacional de Ocupación y Empleo;POS_OCU;Clasificación de la población ocupada por posición en la ocupación;2;2 Empleadores;Categoria Ocupacional;Resto;
Mexico;Encuesta Nacional de Ocupación y Empleo;POS_OCU;Clasificación de la población ocupada por posición en la ocupación;3;3 Trabajadores por cuenta propia;Categoria Ocupacional;Resto;
Mexico;Encuesta Nacional de Ocupación y Empleo;POS_OCU;Clasificación de la población ocupada por posición en la ocupación;4;4 Trabajadores sin pago;Categoria Ocupacional;Resto;
Mexico;Encuesta Nacional de Ocupación y Empleo;POS_OCU;Clasificación de la población ocupada por posición en la ocupación;5;5 No especificado;Categoria Ocupacional;Resto;
Mexico;Encuesta Nacional de Ocupación y Empleo;EMPLE7C;Clasificación de la población ocupada por número de trabajadores;1;1 1 persona;Tamaño;Pequeño;
Mexico;Encuesta Nacional de Ocupación y Empleo;EMPLE7C;Clasificación de la población ocupada por número de trabajadores;2;2 De 2 a 5 personas;Tamaño;Pequeño;
Mexico;Encuesta Nacional de Ocupación y Empleo;EMPLE7C;Clasificación de la población ocupada por número de trabajadores;3;3 De 6 a 10 personas;Tamaño;Pequeño;
Mexico;Encuesta Nacional de Ocupación y Empleo;EMPLE7C;Clasificación de la población ocupada por número de trabajadores;4;4 De 11 a 15 personas;Tamaño;Mediano;
Mexico;Encuesta Nacional de Ocupación y Empleo;EMPLE7C;Clasificación de la población ocupada por número de trabajadores;5;5 De 16 a 50 personas;Tamaño;Mediano;
Mexico;Encuesta Nacional de Ocupación y Empleo;EMPLE7C;Clasificación de la población ocupada por número de trabajadores;6;6 De 51 y más personas;Tamaño;Grande;
Mexico;Encuesta Nacional de Ocupación y Empleo;EMPLE7C;Clasificación de la población ocupada por número de trabajadores;7;7 No especificado;Tamaño;Resto;
Mexico;Encuesta Nacional de Ocupación y Empleo;P3;Si…tiene más de un trabajo, hablemos del principal. ¿Cuáles son las tareas o funciones principales que…desempeña en su trabajo?;numérico;"Ver Catálogo de Código CMO en pregunta 3 hasta el periodo 212
 Ver Catálogo de Código SINCO en pregunta 3 a partir del periodo 312";Calificación;Ver Aparte;
Mexico;Encuesta Nacional de Ocupación y Empleo;PRE_ASA;Población subordinada y remunerada por prestaciones laborales (sin considerar el acceso a las instituciones de salud);1;1 Con prestaciones;Prestaciones;Prestaciones;
Mexico;Encuesta Nacional de Ocupación y Empleo;PRE_ASA;Población subordinada y remunerada por prestaciones laborales (sin considerar el acceso a las instituciones de salud);2;2 Sin prestaciones;Prestaciones;Resto;
Mexico;Encuesta Nacional de Ocupación y Empleo;PRE_ASA;Población subordinada y remunerada por prestaciones laborales (sin considerar el acceso a las instituciones de salud);3;3 No especificado;Prestaciones;Resto;
Mexico;Encuesta Nacional de Ocupación y Empleo;P3J;"En su empleo ... cuenta con un
contrato por escrito";1;Si;Registración;Contrato;
Mexico;Encuesta Nacional de Ocupación y Empleo;P3J;"En su empleo ... cuenta con un
contrato por escrito";2;No;Registración;Resto;
Mexico;Encuesta Nacional de Ocupación y Empleo;P3J;"En su empleo ... cuenta con un
contrato por escrito";9;No sabe;Registración;Resto;
Mexico;Encuesta Nacional de Ocupación y Empleo;P3M4;"En este trabajo, a…le dan, aunque no utilice fondo de retiro (SAR o
Afore)";4;Si;Seguridad Social;Acceso;
Mexico;Encuesta Nacional de Ocupación y Empleo;P3M4;"En este trabajo, a…le dan, aunque no utilice fondo de retiro (SAR o
Afore)";Blanco;No;Seguridad Social;Sin acceso;
Mexico;Encuesta Nacional de Ocupación y Empleo;HRSOCUP;Número de horas trabajadas a la semana;numérico;-;Part Time Involuntario;- 35 hs y más de 35hs;
Mexico;Encuesta Nacional de Ocupación y Empleo;SUB_O;Población subocupada;0;No Subocupado;Part Time Involuntario;Voluntario;
Mexico;Encuesta Nacional de Ocupación y Empleo;SUB_O;Población subocupada;1;Subocupado;Part Time Involuntario;Involuntario;
Mexico;Encuesta Nacional de Ocupación y Empleo;P8A;Variable que resume busquedas de trabajo adicional: lo que intenta ¿es…;1;tener más de un trabajo?;Part Time Involuntario;No utilizada;
Mexico;Encuesta Nacional de Ocupación y Empleo;P8A;Variable que resume busquedas de trabajo, lo que intenta ¿es…;2;tener un trabajo de tiempo completo?;Part Time Involuntario;No utilizada;
Mexico;Encuesta Nacional de Ocupación y Empleo;P8A;Variable que resume busquedas de trabajo, lo que intenta ¿es…;3;conseguir una actividad en la que pueda trabajar más horas para ganar más?;Part Time Involuntario;No utilizada;
Mexico;Encuesta Nacional de Ocupación y Empleo;P8A;Variable que resume busquedas de trabajo, lo que intenta ¿es…;4;Ninguna de las anteriores;Part Time Involuntario;No utilizada;
Mexico;Encuesta Nacional de Ocupación y Empleo;P8A;Variable que resume busquedas de trabajo, lo que intenta ¿es…;9;No sabe;Part Time Involuntario;No utilizada;
Mexico;Encuesta Nacional de Ocupación y Empleo;TIP_CON;Clasificación de la población subordinada y remunerada por disponibilidad de contrato escrito;1;Con contrato escrito;Tiempo determinado;no temporal;
Mexico;Encuesta Nacional de Ocupación y Empleo;TIP_CON;Clasificación de la población subordinada y remunerada por disponibilidad de contrato escrito;2;Temporal;Tiempo determinado;temporal;
Mexico;Encuesta Nacional de Ocupación y Empleo;TIP_CON;Clasificación de la población subordinada y remunerada por disponibilidad de contrato escrito;3;De base, planta o por tiempo indefinido;Tiempo determinado;no temporal;
Mexico;Encuesta Nacional de Ocupación y Empleo;TIP_CON;Clasificación de la población subordinada y remunerada por disponibilidad de contrato escrito;4;Contrato de tipo no especificado;Tiempo determinado;temporal;
Mexico;Encuesta Nacional de Ocupación y Empleo;TIP_CON;Clasificación de la población subordinada y remunerada por disponibilidad de contrato escrito;5;Sin contrato escrito;Tiempo determinado;temporal;
Mexico;Encuesta Nacional de Ocupación y Empleo;TIP_CON;Clasificación de la población subordinada y remunerada por disponibilidad de contrato escrito;6;No especificado;Tiempo determinado;Resto;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;fex_c_2011;Factor de expansión;numérico;-;Ponderador;-;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;Clase;Urbano;1;Urbano;Zona;Urbano;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;Clase;Rural;2;Rural;Zona;Rural;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;NO HAY;Base de datos específica para ocupados;;;Cond Actividad;Ocupados;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;NO HAY;Base de datos específica para ocupados;;;Cond Actividad;Ocupados;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;NO HAY;Base de datos específica para ocupados;;;Cond Actividad;Ocupados;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;NO HAY;Base de datos específica para ocupados;;;Cond Actividad;Ocupados;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6430;En este trabajo ... Es:;1;Obrero o empleado de empresa particular;Sector;Privado sin SD;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6430;En este trabajo ... Es:;2;Obrero o empleado del gobierno;Sector;Resto;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6430;En este trabajo ... Es:;3;Empleado doméstico;Sector;Resto;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6430;En este trabajo ... Es:;4;Trabajador por cuenta propia;Sector;Privado sin SD;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6430;En este trabajo ... Es:;5;Patrón o empleador;Sector;Privado sin SD;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6430;En este trabajo ... Es:;6;Trabajador familiar sin remuneración;Sector;Privado sin SD;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6430;En este trabajo ... Es:;7;Trabajador sin remuneración en empresas o negocios de otros hogares;Sector;Privado sin SD;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6430;En este trabajo ... Es:;8;Jornalero o peón;Sector;Privado sin SD;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6430;En este trabajo ... Es:;9;Otro;Sector;Privado sin SD;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6430;Clasificación de la población ocupada por posición en la ocupación;1;Obrero o empleado de empresa particular;Categoria Ocupacional;Asalariados;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6430;En este trabajo ... Es:;2;Obrero o empleado del gobierno;Categoria Ocupacional;Resto;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6430;En este trabajo ... Es:;3;Empleado doméstico;Categoria Ocupacional;Resto;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6430;En este trabajo ... Es:;4;Trabajador por cuenta propia;Categoria Ocupacional;Resto;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6430;En este trabajo ... Es:;5;Patrón o empleador;Categoria Ocupacional;Resto;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6430;En este trabajo ... Es:;6;Trabajador familiar sin remuneración;Categoria Ocupacional;Resto;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6430;En este trabajo ... Es:;7;Trabajador sin remuneración en empresas o negocios de otros hogares;Categoria Ocupacional;Resto;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6430;En este trabajo ... Es:;8;Jornalero o peón;Categoria Ocupacional;Resto;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6430;En este trabajo ... Es:;9;Otro;Categoria Ocupacional;Resto;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6870;"¿cuántas personas en total tiene la empresa, negocio, industria, oficina, firma o
 finca o sitio donde Trabaja?";1;1 persona;Tamaño;Pequeño;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6870;"¿cuántas personas en total tiene la empresa, negocio, industria, oficina, firma o
 finca o sitio donde Trabaja?";2;De 2 a 3 personas;Tamaño;Pequeño;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6870;"¿cuántas personas en total tiene la empresa, negocio, industria, oficina, firma o
 finca o sitio donde Trabaja?";3;De 4 a 5 personas;Tamaño;Pequeño;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6870;"¿cuántas personas en total tiene la empresa, negocio, industria, oficina, firma o
 finca o sitio donde Trabaja?";4;De 6 a 10 personas;Tamaño;Pequeño;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6870;"¿cuántas personas en total tiene la empresa, negocio, industria, oficina, firma o
 finca o sitio donde Trabaja?";5;De 11 a 19 personas;Tamaño;Mediano;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6870;"¿cuántas personas en total tiene la empresa, negocio, industria, oficina, firma o
 finca o sitio donde Trabaja?";6;De 20 a 30 personas;Tamaño;Mediano;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6870;"¿cuántas personas en total tiene la empresa, negocio, industria, oficina, firma o
 finca o sitio donde Trabaja?";7;De 31 a 50 personas;Tamaño;Mediano;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6870;"¿cuántas personas en total tiene la empresa, negocio, industria, oficina, firma o
 finca o sitio donde Trabaja?";8;De 51 a 100 personas;Tamaño;Grande;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6870;"¿cuántas personas en total tiene la empresa, negocio, industria, oficina, firma o
 finca o sitio donde Trabaja?";9;101 o más personas;Tamaño;Grande;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;OFICIO;¿qué hace ... En este trabajo?;numérico;"La codificación de esta pregunta se hace de acuerdo con la Clasificación Nacional de Ocupaciones (CNO) del SENA 1970 la
 cual se toma de los subgrupos ocupacionales";Calificación;Ver Aparte;
